Age,Gender,250_monthly_cost,250_annual_cost,500_monthly_cost,500_annual_cost,1m_monthly_cost,1m_annual_cost
49,Male,$575.10,"$6,901.20","$1,146.00","$13,752.00","$2,244.70","$26,936.40"
50,Male,$596.00,"$7,152.00","$1,188.00","$14,256.00","$2,328.00","$27,936.00"
51,Male,$637.50,"$7,650.00","$1,270.90","$15,250.80","$2,493.40","$29,920.80"
52,Male,$679.00,"$8,148.00","$1,353.80","$16,245.60","$2,658.80","$31,905.60"
53,Male,$720.50,"$8,646.00","$1,436.70","$17,240.40","$2,824.20","$33,890.40"
54,Male,$762.00,"$9,144.00","$1,519.60","$18,235.20","$2,989.60","$35,875.20"
55,Male,$803.50,"$9,642.00","$1,602.50","$19,230.00","$3,155.00","$37,860.00"
56,Male,$845.00,"$10,140.00","$1,685.40","$20,224.80","$3,320.40","$39,844.80"
57,Male,$886.50,"$10,638.00","$1,768.30","$21,219.60","$3,485.80","$41,829.60"
58,Male,$928.00,"$11,136.00","$1,851.20","$22,214.40","$3,651.20","$43,814.40"
59,Male,$969.50,"$11,634.00","$1,934.10","$23,209.20","$3,816.60","$45,799.20"
60,Male,"$1,011.00","$12,132.00","$2,017.00","$24,204.00","$3,982.00","$47,784.00"
61,Male,"$1,014.49","$12,173.86","$2,023.97","$24,287.58","$3,994.27","$47,931.22"
62,Male,"$1,017.98","$12,215.71","$2,030.93","$24,371.16","$4,006.54","$48,078.44"
63,Male,"$1,021.46","$12,257.57","$2,037.90","$24,454.74","$4,018.80","$48,225.66"
64,Male,"$1,024.95","$12,299.43","$2,044.86","$24,538.32","$4,031.07","$48,372.88"
65,Male,"$1,028.44","$12,341.28","$2,051.83","$24,621.90","$4,043.34","$48,520.10"
66,Male,"$1,031.93","$12,383.14","$2,058.79","$24,705.49","$4,055.61","$48,667.32"
67,Male,"$1,035.42","$12,425.00","$2,065.76","$24,789.07","$4,067.88","$48,814.54"
68,Male,"$1,038.90","$12,466.85","$2,072.72","$24,872.65","$4,080.15","$48,961.76"
69,Male,"$1,042.39","$12,508.71","$2,079.69","$24,956.23","$4,092.41","$49,108.98"
70,Male,1045.880662,"$12,550.57",2086.650697,"$25,039.81",4104.682927,49256.19512
71,Male,1065.360017,"$12,784.32",2125.593118,"$25,507.12",4181.439024,50177.26829
72,Male,1084.839373,"$13,018.07",2164.53554,"$25,974.43",4258.195122,51098.34146
73,Male,1104.318728,"$13,251.82",2203.477962,"$26,441.74",4334.95122,52019.41463
74,Male,1123.798084,"$13,485.58",2242.420383,"$26,909.04",4411.707317,52940.4878
75,Male,1143.277439,"$13,719.33",2281.362805,"$27,376.35",4488.463415,53861.56098
76,Male,1162.756794,"$13,953.08",2320.305226,"$27,843.66",4565.219512,54782.63415
77,Male,1182.23615,"$14,186.83",2359.247648,"$28,310.97",4641.97561,55703.70732
78,Male,1201.715505,"$14,420.59",2398.19007,"$28,778.28",4718.731707,56624.78049
79,Male,1221.194861,"$14,654.34",2437.132491,"$29,245.59",4795.487805,57545.85366
80,Male,1240.674216,"$14,888.09",2476.074913,"$29,712.90",4872.243902,58466.92683
81,Male,1260.153571,"$15,121.84",2515.017334,"$30,180.21",4641.97561,55703.70732
82,Male,1279.632927,"$15,355.60",2553.959756,"$30,647.52",4949,59388
83,Male,1299.112282,"$15,589.35",2592.902178,"$31,114.83",4795.487805,57545.85366
84,Male,1318.591638,"$15,823.10",2631.844599,"$31,582.14",4872.243902,58466.92683
85,Male,1338.070993,"$16,056.85",2670.787021,"$32,049.44",4949,59388
86,Male,1357.550348,"$16,290.60",2709.729443,"$32,516.75",4718.731707,56624.78049
87,Male,1377.029704,"$16,524.36",2748.671864,"$32,984.06",5025.756098,60309.07317
88,Male,1396.509059,"$16,758.11",2787.614286,"$33,451.37",4872.243902,58466.92683
89,Male,1415.988415,"$16,991.86",2826.556707,"$33,918.68",4949,59388
90,Male,1435.46777,"$17,225.61",2865.499129,"$34,385.99",5639.804878,67677.65854
91,Male,1454.947125,"$17,459.37",2904.441551,"$34,853.30",5716.560976,68598.73171
92,Male,1474.426481,"$17,693.12",2943.383972,"$35,320.61",5793.317073,69519.80488
93,Male,1493.905836,"$17,926.87",2982.326394,"$35,787.92",5870.073171,70440.87805
94,Male,1513.385192,"$18,160.62",3021.268815,"$36,255.23",5946.829268,71361.95122
95,Male,1532.864547,"$18,394.37",3060.211237,"$36,722.53",6023.585366,72283.02439
96,Male,1552.343902,"$18,628.13",3099.153659,"$37,189.84",6100.341463,73204.09756
97,Male,1571.823258,"$18,861.88",3138.09608,"$37,657.15",6177.097561,74125.17073
98,Male,1591.302613,"$19,095.63",3177.038502,"$38,124.46",6253.853659,75046.2439
99,Male,1610.781969,"$19,329.38",3215.980923,"$38,591.77",6330.609756,75967.31707
100,Male,1630.261324,"$19,563.14",3254.923345,"$39,059.08",6407.365854,76888.39024
